,state,county,category,change,changecalc,dates,values,page
39,Washington,Grant County,Transit stations,-44,-29.221675000000005,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[5.501, 2.905, 2.548, 3.582, 2.738, -1.24, 0.303, 1.719, -0.83, 0.566, -0.276, -1.369, -1.791, -3.634, -4.469, -8.715, -5.944, -23.699, -25.46, -28.797, -28.161, -8.595, -19.92, -34.109, -37.754, -39.559, -42.989, -40.577, -24.409, -30.71, -44.582, -43.541, -44.623, -45.47, -42.242, -26.128, -32.371, -45.714, -45.745, -45.718, -44.781, -41.788, -29.222]",7
40,Washington,Grant County,Workplace,-28,-38.65304333333334,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[16.566, 35.636, 13.814, 12.481, 17.261, 6.398, 10.724, 24.146, 32.634, 16.801, 11.198, 14.025, 9.878, 7.927, 2.153, 20.494, -0.498, -20.647, -13.306, -19.082, -20.703, -22.087, -20.102, -28.749, -38.377, -33.803, -46.471, -47.747, -54.751, -41.379, -37.834, -37.911, -24.813, -33.45, -34.132, -40.993, -34.2, -28.873, -31.262, -28.409, -30.644, -39.54, -38.653]",7
41,Washington,Grant County,Residential,9,-3.442026666666666,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-10', '2020-04-11']","[10.688, 15.007, 12.995, 15.807, 18.333, 13.375, 14.482, 13.406, 15.669, 19.596, 12.362, 18.958, 24.724, 28.964, 22.283, 22.069, 32.178, 15.807, 20.417, 15.807, 18.146, 10.326, -1.986, 0.206, -7.498, -5.0, -17.834, -18.146, -26.63, -19.2, -16.914, -8.512, 1.25, -6.282, -3.839, -12.319, -9.931, -4.332, -6.688, 1.875, -8.026, -3.442]",7
42,Washington,Grays Harbor County,Retail & recreation,-37,-9.057973333333335,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[29.891, 53.694, 1.286, 1.302, 55.465, -4.845, 43.683, 88.768, 113.832, 95.165, 49.479, 59.524, 47.238, 15.681, 38.043, 88.058, 59.156, 53.385, 89.286, 81.153, 104.167, 131.341, 56.916, -18.004, -16.927, 5.411, -29.07, -43.683, -57.971, -17.182, -36.008, -16.927, -4.058, -15.746, -21.281, -17.21, -5.369, 18.004, 2.604, 27.056, 18.169, -15.681, -9.058]",7
43,Washington,Grays Harbor County,Grocery & pharmacy,-3,-40.97222666666667,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[2.778, 2.003, 0.787, 2.473, 1.218, -0.748, -0.796, 1.736, 2.404, -1.888, -0.773, 0.609, -2.245, -6.371, -4.167, -7.612, -11.329, -24.573, -28.935, -32.028, -31.218, -24.653, -28.846, -35.876, -39.874, -40.509, -48.491, -46.668, -40.972, -38.462, -46.576, -45.901, -46.144, -49.539, -47.942, -39.236, -42.067, -47.52, -47.292, -47.819, -49.24, -50.172, -40.972]",7
44,Washington,Island County,Retail & recreation,-34,-35.82670833333334,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[9.837, 18.531, 5.088, 8.978, 8.19, 4.619, 4.205, 11.597, 20.777, 8.971, 5.941, 4.863, 2.553, -2.207, -6.42, 9.687, -4.82, -16.767, -18.811, -23.702, -22.915, -27.854, -24.989, -27.983, -30.365, -32.632, -41.813, -45.093, -49.184, -35.799, -36.552, -30.894, -31.352, -39.868, -39.733, -43.282, -37.483, -31.196, -29.969, -31.736, -31.238, -35.108, -35.827]",8
45,Washington,Island County,Grocery & pharmacy,-16,-16.972839999999998,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[7.654, 2.595, 1.281, 5.442, 4.39, 3.872, 0.681, 6.989, 2.966, 4.696, 6.219, 5.987, 15.877, 16.68, 8.986, -1.483, 20.065, 10.494, 2.395, -2.323, -1.021, -12.314, -20.018, -7.258, -15.547, -15.565, -20.136, -26.893, -31.616, -25.949, -24.761, -18.268, -12.771, -20.524, -25.191, -32.947, -32.251, -22.199, -21.377, -21.951, -13.553, -12.255, -16.973]",8
46,Washington,Island County,Transit stations,-45,-46.72897333333334,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[15.576, 18.446, -2.541, 4.34, 2.671, -4.96, -0.974, 37.977, -11.856, -6.076, -7.748, -14.245, -21.495, -16.55, 2.17, -21.172, -28.646, -31.853, -29.38, -27.282, -21.417, -27.127, -44.885, -47.743, -54.236, -57.87, -60.351, -58.411, -55.339, -56.741, -59.028, -55.957, -56.98, -59.524, -53.544, -54.253, -57.588, -54.688, -48.209, -48.077, -47.123, -46.729]",8
47,Washington,Island County,Workplace,-40,-41.834005000000005,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[-0.418, 0.496, -0.525, 0.166, 1.984, -0.655, 0.717, -2.51, 2.48, 1.225, -2.654, -3.307, -6.879, -7.53, -5.857, -12.897, -14.006, -29.359, -32.573, -36.36, -35.32, -28.447, -33.234, -40.791, -45.449, -49.438, -53.066, -51.814, -39.742, -44.147, -52.346, -53.742, -53.571, -55.359, -53.249, -40.997, -41.667, -52.871, -55.235, -53.902, -55.031, -54.683, -41.834]",8
48,Washington,Jefferson County,Parks,-8,-60.11904333333334,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[4.496, 21.429, -5.816, 1.555, 6.358, 8.275, 1.701, -1.124, 18.452, 3.701, 2.073, 3.423, -4.868, -5.527, -15.737, 5.952, -26.967, -40.423, -42.058, -46.242, -40.816, -55.456, -50.0, -49.175, -54.934, -58.685, -63.279, -63.35, -70.444, -64.881, -59.75, -56.488, -57.707, -57.438, -60.799, -65.947, -60.119]",8
49,Washington,Jefferson County,Workplace,-38,-34.09090666666667,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[0.548, 15.152, 10.653, 8.147, 6.474, 2.264, 9.847, -0.548, 3.157, 8.286, -2.328, 10.593, 3.963, 18.657, 9.32, 11.364, 20.715, 2.91, 0.589, -0.566, 6.737, -8.772, -8.838, -10.653, -18.04, -20.009, -26.042, -27.467, -32.895, -32.197, -21.307, -20.368, -15.596, -26.608, -23.58, -30.702, -34.091]",8
50,Washington,King County,Retail & recreation,-59,-61.319390000000006,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[0.58, 12.379, -2.926, -0.848, -1.724, -5.38, -11.123, -13.704, -4.965, -5.802, -6.842, -9.137, -11.544, -20.944, -28.689, -21.219, -27.239, -36.568, -39.581, -42.021, -44.856, -55.444, -52.08, -47.781, -52.115, -55.485, -60.848, -61.973, -66.911, -59.506, -58.7, -55.337, -54.631, -56.912, -58.112, -62.281, -58.728, -53.513, -53.657, -54.06, -54.353, -55.793, -61.319]",9
