,Unnamed: 0,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
39,39,868,271,438,243,82,1009,179,112,148,283,330,1185,31187,853,531,831,75,101,207,431,287,114,363,9,109,62,157,1027,27,12,15,20,,16,8,50,1,2,,1,123,,,,,,,,1,,,,,
40,40,905,282,450,247,84,1037,188,114,151,294,352,1206,33757,878,538,850,79,103,217,459,292,117,379,12,111,64,168,1057,30,12,15,22,,16,8,83,1,2,,1,175,,,,,,,,1,,,,,
41,41,926,288,469,255,85,1084,202,114,151,297,358,1225,36167,900,556,870,83,103,216,498,294,119,389,12,118,67,169,1087,30,12,15,22,,16,8,149,1,3,,1,291,,,,,,,,1,1,,,,
42,42,946,294,490,261,86,1130,210,114,155,300,372,1236,38556,913,569,884,84,106,218,511,298,124,401,12,124,68,169,1107,34,12,15,22,,16,8,160,1,3,,1,435,,2,,,,,,1,2,,,,
43,43,960,297,502,270,87,1166,213,114,158,301,379,1239,40479,937,580,901,86,106,224,576,303,124,419,12,128,70,169,1130,88,12,22,22,,17,8,276,1,3,,1,552,,3,,,,,,1,2,,,,
44,44,973,298,513,278,87,1210,217,114,158,305,380,1242,42054,952,588,908,89,106,224,602,306,126,429,12,128,71,170,1154,108,12,22,22,,17,8,414,1,3,,1,739,,3,,,,,,1,2,,,,
45,45,979,303,520,284,87,1234,219,115,158,305,403,1243,43468,959,602,916,90,106,226,625,313,126,448,12,128,72,170,1161,118,12,22,23,,17,8,523,1,3,,1,739,,3,,,,,,1,6,,,,
46,46,983,308,526,295,87,1252,223,117,159,307,409,1247,45015,966,610,919,90,109,226,637,314,126,458,13,128,73,170,1172,130,12,22,23,,18,18,589,1,30,,1,1669,,3,,,,,,1,6,,,,
47,47,984,315,527,295,87,1260,230,123,159,307,421,1247,46451,979,618,923,90,109,227,647,315,126,465,15,129,73,170,1183,166,12,22,24,,18,18,622,1,30,,1,2134,,3,,,,,,1,6,,,,
48,48,984,320,542,295,88,1270,234,129,159,307,434,1247,47585,988,622,927,91,110,227,703,315,127,471,15,130,73,170,1190,247,12,22,24,,18,18,724,1,32,,1,2394,2,3,,,1,,,1,6,,,,
