,state,county,category,change,changecalc,dates,values,page
21,Texas,Bee County,Retail & recreation,-46,-48.01212333333335,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-19', '2020-02-20', '2020-02-21', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[4.212, -0.521, 3.481, -1.787, -5.865, -3.691, -2.654, 3.931, -1.562, 16.067, 14.042, 11.261, 14.149, 8.404, 32.008, 17.969, 25.171, 12.255, 7.038, 2.666, 9.289, 10.389, 5.208, 13.389, 6.383, 5.396, 6.152, 8.846, 7.019, -0.268, -4.596, -11.496, -18.045, -29.857, -27.796, -20.312, -18.745, -24.254, -30.734, -32.603, -31.184, -48.012]",7
22,Texas,Bee County,Grocery & pharmacy,-35,-36.53238999999999,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-19', '2020-02-20', '2020-02-21', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[-9.38, 2.778, -8.523, -6.54, -16.989, -6.536, -11.1, -4.937, -8.333, -4.735, 0.467, 3.577, 10.212, -0.427, 4.443, 2.778, 10.417, 4.204, -0.894, 4.493, -2.135, -0.494, -0.926, 5.682, 5.138, 15.647, 19.608, 14.515, 13.329, 12.963, 12.311, 11.211, 12.071, 8.17, -3.842, -14.317, -10.185, -6.629, -11.678, -6.259, -7.761, -15.796, -36.532]",7
23,Texas,Bee County,Workplace,-27,-28.52182999999999,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-20', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[-4.96, -9.515, -1.447, -2.867, -2.023, -2.48, 4.006, 1.929, -0.965, -3.345, -0.501, -2.023, -2.48, -2.504, -5.305, -0.965, -1.911, -1.002, -4.045, -3.005, -4.823, -4.823, -8.601, -9.014, -8.091, -4.96, -20.533, -21.219, -21.219, -25.325, -26.542, -22.249, -21.081, -24.539, -30.864, -31.829, -34.882, -34.555, -24.272, -28.522]",7
24,Texas,Bell County,Retail & recreation,-37,-38.529955000000015,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-19', '2020-02-20', '2020-02-21', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[8.215, 7.232, -3.694, -3.913, -1.007, 3.916, 7.267, 1.646, 6.84, 8.653, 18.216, 18.567, 18.768, 21.529, 19.638, 16.255, 17.159, 8.242, 15.638, 12.86, 10.402, 11.152, 8.511, 9.146, 13.404, 11.159, 6.193, -1.287, -6.874, -0.887, -8.226, -9.807, -21.249, -29.799, -35.051, -36.663, -23.999, -35.237, -32.069, -35.306, -37.645, -38.951, -38.53]",7
25,Texas,Bell County,Grocery & pharmacy,-24,-24.680481666666672,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-19', '2020-02-20', '2020-02-21', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[2.042, -0.144, -5.674, -6.558, -2.791, 0.13, -5.208, -2.436, -2.339, -0.519, 3.806, 7.897, 9.647, 3.43, 9.779, 3.67, 10.865, 2.977, 13.517, 13.005, 7.685, 8.418, 5.973, 7.194, 9.761, 21.487, 31.289, 11.846, 6.304, 11.766, 10.383, 14.283, 12.672, 0.326, -10.29, -14.364, -0.648, -11.533, -10.213, -11.864, -14.993, -20.706, -24.68]",7
26,Texas,Bell County,Parks,8,7.974485000000004,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-19', '2020-02-20', '2020-02-21', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[37.38, 45.749, -14.342, -26.042, -14.124, 1.978, 18.657, -30.403, 16.892, 18.871, 7.102, 60.028, 34.942, 36.795, 3.987, 19.707, 40.006, -7.891, 83.863, 48.787, 48.715, 21.431, 9.854, 83.786, 101.01, 95.339, 35.601, 17.102, -32.895, 32.458, 33.144, 41.49, -46.15, -40.423, -42.364, -9.854, 12.077, 43.403, 42.373, 19.119, 10.365, 7.974]",7
27,Texas,Bell County,Transit stations,-34,-35.21127,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-19', '2020-02-20', '2020-02-21', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[11.004, 12.626, 8.833, 8.578, 9.993, 19.022, 2.688, 17.239, 13.889, 14.011, 17.463, 14.838, 23.551, 14.785, 16.872, 9.47, 10.356, 6.74, 14.535, 28.382, 26.21, 23.841, 17.045, 9.442, 20.221, 19.077, 29.589, 20.161, 12.104, 8.207, -1.218, -2.757, 2.422, -10.266, -15.121, -22.374, -15.152, -12.792, -14.4, -20.288, -20.229, -27.89, -35.211]",7
28,Texas,Bell County,Workplace,-33,-34.72222666666667,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-19', '2020-02-20', '2020-02-21', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[-3.195, -32.932, 0.478, 0.48, 0.422, 0.821, -0.992, -4.372, 1.145, 1.069, 2.032, 1.435, 0.967, -0.354, -1.513, 2.231, 0.422, -0.734, 1.942, -0.41, -2.409, -3.531, -20.223, -20.231, -18.937, -21.813, -25.236, -5.173, -8.912, -19.783, -22.792, -23.847, -28.765, -31.918, -19.7, -29.173, -31.406, -39.055, -42.135, -43.203, -43.437, -28.416, -34.722]",7
29,Texas,Bell County,Residential,10,10.51604666666666,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-19', '2020-02-20', '2020-02-21', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[-1.033, 7.718, 0.859, 2.049, 1.473, -1.912, -0.34, 0.776, -0.142, -0.616, -1.237, -2.036, -4.674, -2.941, -1.768, -1.385, -1.643, 1.567, -1.87, -3.656, -2.049, -1.34, 3.25, 2.562, 1.649, 1.962, 1.755, 1.265, 2.655, 6.418, 7.837, 8.559, 10.944, 13.684, 10.933, 9.353, 12.24, 15.758, 16.215, 17.203, 17.009, 12.381, 10.516]",7
30,Texas,Bexar County,Retail & recreation,-47,-48.792495,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-19', '2020-02-20', '2020-02-21', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[7.105, 6.098, -1.591, -1.903, -3.225, -0.113, 4.627, 4.696, 3.55, 6.743, 11.777, 9.899, 6.851, 9.922, 13.124, 8.646, 10.173, 8.661, 8.447, 3.443, 3.887, 5.529, 6.087, 9.238, 11.168, 8.721, -1.032, -9.176, -10.048, -5.434, -11.877, -15.164, -27.227, -36.024, -46.54, -45.073, -31.784, -29.663, -45.433, -43.455, -45.656, -49.314, -48.792]",8
