,Unnamed: 0,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
62,62,990,558,578,318,136,1428,254,146,168,319,484,1274,67801,1018,636,936,93,127,249,768,414,134,545,215,142,76,176,1240,9037,19856,1823,1518,1891,28729,6650,63927,3743,35136,2016,700,23094,3924,8060,2573,4749,1460,1125,2060,1996,1825,646,653,1171,20875
63,63,990,561,578,322,136,1433,254,146,168,319,484,1274,67801,1018,638,936,94,127,250,769,433,134,547,216,145,76,176,1241,9137,22302,2317,1796,2247,32986,8077,69176,4269,42058,2299,792,24811,5283,9877,2866,5560,1591,1329,2362,2221,2229,1159,803,1412,25665
64,64,990,566,578,328,136,1444,254,146,168,319,484,1275,67801,1018,640,936,95,128,253,769,451,135,547,252,151,76,178,1243,9241,25233,2431,1796,2554,37323,9574,74386,4937,49515,2526,792,27017,5560,10909,3100,6437,1861,1329,2995,2469,2626,1838,1034,1682,30811
65,65,990,569,578,331,136,1456,254,146,168,319,484,1275,67801,1018,641,936,95,128,253,771,468,135,548,252,155,76,180,1247,9332,29155,2805,2031,2915,43211,11660,80589,6235,57786,2840,958,29406,6847,11806,3360,7459,2023,1564,3544,3207,4094,2417,1424,2355,37258
66,66,990,573,578,337,136,1467,254,146,168,319,484,1275,67801,1018,641,936,97,131,253,772,485,135,548,283,161,76,180,1251,9478,32964,3570,2161,3477,50871,14590,86498,7284,65719,3069,1041,32332,7697,12928,3771,8641,2199,2121,4268,3207,4269,3240,1731,2900,44635
67,67,990,577,579,338,136,1475,254,147,168,319,484,1276,67801,1018,644,937,98,134,253,772,492,136,550,283,166,76,180,1254,9583,37611,3809,2320,3904,56517,17136,92472,9134,73235,3460,1163,35408,8280,14108,4015,9819,2366,2121,5170,3723,5151,4257,1731,3198,52315
68,68,990,577,579,340,138,1484,254,147,168,321,484,1276,67801,1018,645,937,98,136,253,773,498,136,550,298,173,76,180,1255,9661,40174,4107,2470,4256,62440,19569,97689,10836,80100,3719,1218,38309,8774,14799,4281,10923,2564,2615,5962,4310,5667,4955,2552,4246,59513
69,69,990,580,579,343,138,1490,254,147,168,321,484,1276,67801,1018,646,937,98,139,253,774,509,136,550,306,174,76,181,1257,9786,40174,4514,2626,4330,66885,22141,101739,11899,87956,4106,1308,41495,9618,15923,4445,11750,2577,2615,6408,4896,6905,5752,2909,5473,66497
70,70,990,580,579,343,138,1501,254,147,168,323,484,1276,67802,1018,646,937,98,140,255,774,516,137,552,322,176,76,182,1257,9887,51487,4763,2766,5717,71808,25150,105792,12775,95923,4435,1379,44606,10088,16597,4599,12595,2815,2910,7443,4896,7555,6620,3403,6338,75795
71,71,990,582,579,345,138,1507,254,147,168,325,488,1276,67802,1019,647,937,98,140,255,775,522,137,554,329,177,76,183,1258,9976,56325,5108,2908,6836,77981,29474,110574,13964,104118,5009,1441,47593,10711,17785,4877,13614,3107,3447,8251,5230,9568,7738,4035,6955,83172
72,72,990,583,579,349,138,1514,254,147,168,326,489,1276,67802,1019,651,937,98,141,255,778,526,137,555,339,179,76,184,1260,10062,58441,5315,3116,8066,84789,33718,115242,15348,112065,5568,1513,50468,11129,18823,5142,14697,3386,3849,9034,5984,10739,8966,4717,8010,92381
73,73,990,585,579,350,138,1516,254,147,168,326,491,1276,67803,1019,651,937,98,141,256,778,529,137,557,348,180,76,184,1262,10156,63633,5529,3333,9082,91959,38690,119827,16770,119199,6122,1608,53183,11521,19702,5519,15723,3757,4273,9886,6585,11986,10402,5474,9585,102863
74,74,990,585,579,350,138,1516,254,147,168,326,491,1276,67803,1019,651,937,98,141,256,778,529,137,557,355,180,76,184,1262,10237,68605,5625,3483,10278,96108,41903,124632,18431,126168,6558,1882,55743,11766,20505,5644,16627,4077,4604,10524,6966,12809,11736,6110,11111,113704
75,75,990,587,579,350,139,1532,254,147,168,327,524,1276,67803,1019,651,937,98,142,256,780,536,138,559,373,180,76,184,1264,10284,70478,5787,3662,11281,100123,47806,128948,19691,131646,6993,1927,58226,11973,21065,5687,17851,4369,4994,11278,7591,13855,12500,6812,12151,122031
76,76,990,587,579,351,139,1533,254,147,168,327,544,1276,67803,1019,651,937,98,144,256,781,538,138,560,373,180,76,184,1265,10331,74390,5895,3793,12056,103375,51608,132547,20814,136675,7347,2176,60500,12297,21657,5865,18803,4681,5364,11730,7984,15820,13837,7579,13324,130689
77,77,990,588,579,351,139,1536,254,147,168,327,569,1276,67803,1019,651,937,98,144,256,783,543,163,560,379,180,76,184,1266,10384,78167,5988,3963,14049,107659,55242,135586,22194,141942,7857,2308,62589,12519,22253,5903,19580,5071,5709,12442,8384,17231,15202,8520,14504,138863
78,78,990,588,579,351,139,1536,254,147,168,327,569,1276,67803,1019,651,937,98,144,256,783,543,163,560,379,181,76,184,1266,10384,82048,6024,4119,14511,111406,60733,139422,23403,146690,8571,2487,67286,12937,23254,6009,20549,5402,6074,13141,8986,17510,15202,9527,14747,140979
