0-19 years,20-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85 years and older,Total
0.016,0.143,0.212,0.205,0.286,0.305,0.313,0.207
0.025,0.208,0.283,0.301,0.435,0.587,0.703,0.314
