,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
47,0,0,0,0,4,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,260,7,6,6,240,67,1412,31,157,42,6,743,25,109,29,77,8,2,12,10,10,15,3,3,30
48,0,1,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,203,18,18,5,111,46,1796,39,550,57,8,595,27,0,0,56,55,3,0,50,12,13,2,3,37
49,0,6,0,0,1,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,372,16,12,4,414,54,929,28,472,95,7,881,51,160,224,61,172,10,0,105,43,51,4,2,30
50,0,0,0,0,2,3,0,0,0,0,0,1,8,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,354,500,12,20,18,401,87,2313,47,582,145,25,958,64,155,229,121,252,9,29,99,9,3,5,8,45
51,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,110,592,30,9,25,779,136,2923,85,869,187,44,1075,115,216,171,111,160,27,0,36,32,13,2,7,107
52,0,1,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,1,0,0,0,12,107,785,40,39,74,930,202,2275,160,2086,127,46,1289,143,271,196,190,127,20,53,166,49,15,15,21,96
53,0,5,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,76,839,49,41,0,927,342,3497,130,1161,147,70,1365,161,236,112,155,26,39,57,74,0,15,6,26,103
54,0,4,0,0,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,6,0,0,1,0,74,923,65,190,49,236,232,3781,197,1360,62,19,1209,195,845,148,176,37,40,76,127,134,26,11,38,205
55,0,9,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,0,8,0,0,1,1,84,1210,62,125,34,1174,171,3042,199,1438,0,28,1053,156,0,75,278,50,54,86,68,31,33,0,40,221
56,0,3,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,10,0,0,0,0,93,1097,164,120,57,3355,407,3526,158,2635,168,47,1178,316,49,16,292,63,69,117,67,158,21,8,37,591
57,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,17,117,0,715,676,0,243,1890,0,14,1192,314,503,203,346,67,0,0,108,153,0,0,18,109
58,0,22,0,3,1,22,1,0,0,0,2,0,0,0,0,0,0,1,1,1,10,0,1,8,1,0,0,2,239,3265,258,110,356,5238,643,9529,309,4361,232,67,1046,550,1450,230,409,107,265,338,175,150,110,79,174,3648
59,0,8,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,0,1,27,0,0,0,2,147,1617,115,130,323,3287,714,5986,462,1903,216,50,1237,453,1393,159,534,104,126,234,189,171,85,155,130,2547
60,0,15,0,4,0,8,0,0,0,1,0,0,0,0,2,1,0,0,0,1,14,0,1,18,0,0,0,1,98,1847,357,153,158,3494,1035,6557,558,5516,131,73,966,15,1248,225,637,71,102,260,144,222,0,0,0,532
61,0,23,1,6,2,6,0,0,0,0,0,1,0,0,0,0,0,1,0,2,10,0,0,16,4,0,0,1,64,1559,343,123,418,2751,665,5560,586,3272,161,103,1028,916,611,98,573,69,121,320,269,202,233,25,254,6791
62,0,21,1,5,0,15,0,0,0,0,0,0,1,0,3,0,0,0,1,1,10,1,2,46,1,0,0,2,76,3838,194,212,345,3877,967,4789,342,6368,85,74,1456,344,586,311,545,65,219,460,203,357,0,319,403,5707
