,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
51,0,7,0,0,3,3,0,0,0,0,1,1,26,0,0,0,0,0,0,2,4,0,0,4,0,0,0,0,464,1464,58,41,47,1594,277,6165,160,1923,427,76,2914,230,531,624,293,584,46,29,240,84,67,11,17,182
52,0,2,0,0,4,3,0,0,0,0,0,1,17,0,0,0,0,0,0,2,6,0,0,3,0,0,0,12,571,1877,82,68,117,2110,425,7511,292,3537,459,115,3322,322,642,596,422,539,56,82,301,90,31,22,36,248
53,0,7,0,0,5,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,9,0,0,5,0,0,0,16,293,2216,119,89,99,2636,680,8695,375,4116,461,160,3729,419,723,479,456,313,86,110,276,81,43,23,54,306
54,0,10,0,0,6,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,9,0,0,10,0,0,1,16,257,2547,154,270,123,2093,776,9553,487,4607,336,135,3863,499,1352,456,521,190,99,186,367,183,56,32,85,404
55,0,18,0,0,4,8,1,0,0,0,0,0,9,0,0,0,0,0,1,1,8,0,0,17,0,0,2,5,234,2972,176,356,83,2337,745,10320,526,3959,209,117,3627,512,1081,335,609,113,133,219,269,165,74,17,104,529
56,0,16,0,0,1,12,1,0,0,0,0,0,6,0,0,0,0,0,1,1,8,0,1,24,0,0,2,1,251,3230,291,435,140,4765,810,10349,554,5433,230,94,3440,667,894,239,746,150,163,279,262,323,80,19,115,1017
57,0,23,0,0,0,9,1,0,0,0,0,0,2,0,0,0,0,0,1,1,6,0,1,41,0,0,1,1,177,2307,243,362,91,5244,1254,6568,600,5963,168,89,3423,786,552,294,916,180,123,203,243,342,54,8,95,921
58,0,36,0,3,1,28,1,0,0,0,2,0,1,0,0,0,0,1,1,1,13,0,2,41,1,0,0,2,332,4362,439,347,413,9308,1726,13055,710,8886,400,128,3416,1180,2002,449,1047,237,334,455,350,461,131,87,229,4348
59,0,41,0,7,1,30,1,0,0,0,2,0,0,0,0,0,0,1,2,3,19,0,2,58,1,0,0,4,386,4882,390,357,679,9240,2033,15515,1014,8154,448,131,3475,1317,3346,592,1289,278,391,572,472,474,195,234,322,6304
60,0,45,0,11,1,37,1,0,0,1,2,0,0,0,2,1,0,1,2,4,33,0,3,53,1,0,0,5,484,6729,730,393,837,12019,2392,22072,1329,11780,579,190,3249,1018,4091,614,1580,282,493,832,508,543,195,234,304,6727
61,0,46,1,14,2,21,0,0,0,1,0,1,0,0,2,1,0,1,1,5,33,0,2,61,4,0,0,4,309,5023,815,406,899,9532,2414,18103,1606,10691,508,226,3231,1384,3252,482,1744,244,349,814,602,595,318,180,384,9870
62,0,59,2,15,2,29,0,0,0,1,0,1,1,0,5,1,0,1,1,4,34,1,3,80,5,0,0,4,238,7244,894,488,921,10122,2667,16906,1486,15156,377,250,3450,1275,2445,634,1755,205,442,1040,616,781,233,344,657,13030
63,0,47,2,15,2,26,0,0,0,0,0,1,1,0,5,0,1,1,2,4,39,1,4,63,8,0,0,4,240,7843,1031,613,1119,10885,3059,15598,1454,16562,529,269,4201,2619,3014,702,1929,265,544,1082,697,963,746,494,898,17288
64,0,29,1,15,0,31,0,0,0,0,0,1,1,0,7,0,2,1,5,2,47,2,4,83,10,0,2,5,280,9215,802,490,1008,12471,3891,15248,1536,20747,595,166,5379,1980,3435,838,2233,466,423,1395,676,1158,1192,700,914,15643
65,0,11,0,13,0,28,0,0,0,0,0,1,0,0,5,0,2,1,4,3,54,1,3,37,13,0,4,7,295,9299,982,513,1024,14482,5010,16662,2492,22650,824,258,6312,2923,3746,787,2710,563,439,1484,1211,2269,1771,771,1184,16383
66,0,12,0,15,0,34,0,0,0,0,0,1,0,0,3,0,3,4,3,3,52,1,1,67,16,0,4,10,341,10662,1253,365,1230,17885,6513,17322,3015,23661,770,249,7521,2414,3051,905,3081,608,792,1906,986,2040,2081,928,1488,18970
67,0,11,1,10,0,31,0,1,0,0,0,1,0,0,4,1,3,6,0,3,41,1,3,31,15,0,2,11,342,12378,1378,524,1350,19194,7562,18086,4197,23720,934,371,8391,2720,3199,915,3382,505,792,2175,1254,2525,2419,697,1516,21504
68,0,8,1,9,2,28,0,1,0,2,0,1,0,0,4,1,3,8,0,2,30,1,2,46,18,0,0,8,329,11019,1302,439,1341,19229,7909,17100,4601,22314,879,260,8903,1927,2993,921,3464,541,1051,2418,1103,1573,2538,1128,1891,22255
69,0,7,1,6,2,23,0,1,0,2,0,1,0,0,5,1,1,8,0,2,24,1,2,23,13,0,1,6,308,7210,944,465,853,16014,7551,15241,4615,22237,1037,267,9163,1921,2995,674,3109,378,494,2140,1689,2636,2512,1178,2573,21862
70,0,3,0,5,2,26,0,0,0,4,0,0,1,0,2,0,0,6,2,2,24,1,2,39,10,0,2,3,304,13876,954,446,1813,15291,8014,13320,3641,22688,975,216,9198,1808,2489,584,2776,449,789,2273,1173,2404,2363,1672,3140,23480
71,0,5,0,5,0,23,0,0,0,4,4,0,1,1,2,0,0,4,2,2,24,1,4,31,4,0,3,3,315,16151,1001,438,2580,15541,9905,12885,3128,24018,1290,223,9284,1937,2986,596,2691,543,832,2289,920,3901,2783,1483,2709,23659
72,0,3,0,6,0,24,0,0,0,5,5,0,1,1,5,0,0,2,2,4,17,1,5,33,5,0,3,3,276,18267,801,490,3736,17904,11577,13503,3449,24109,1462,205,8973,1511,2900,697,2947,809,1234,2626,1088,3834,3214,1808,2537,25884
73,0,5,0,7,0,15,0,0,0,3,7,0,1,1,5,0,0,1,1,4,13,0,5,26,4,0,2,5,269,12146,766,567,3365,20151,13540,14035,3995,23276,1687,229,8577,1433,3105,920,3128,942,1363,2443,1689,4431,3782,2071,3247,27068
74,0,3,0,5,0,9,0,0,0,1,3,0,1,0,4,0,0,1,1,3,7,0,3,26,3,0,1,4,261,12280,517,575,3442,18127,12429,14058,4467,22050,1549,441,8150,1055,2720,767,3013,970,1157,2273,1736,3241,3998,2075,4156,30532
75,0,4,0,1,1,18,0,0,0,1,35,0,1,0,0,0,0,1,1,2,10,1,4,34,1,0,0,4,222,12037,472,546,3215,15334,14088,13706,4343,19581,1425,414,7758,844,2242,545,3154,983,1145,2244,1607,3116,3534,2095,4141,29650
76,0,2,0,1,1,17,0,0,0,1,53,0,0,0,0,0,0,3,0,3,9,1,3,25,0,0,0,3,175,10757,366,460,2974,11416,12918,12720,4044,17476,1225,568,7317,776,1955,346,3080,924,1091,1844,1399,3834,3435,2105,3739,27826
77,0,3,0,1,1,20,0,0,0,1,78,0,0,0,0,0,0,3,0,5,14,26,3,24,0,0,0,4,147,9562,363,480,3771,11551,13339,10954,3763,15774,1299,426,6846,753,1748,259,2953,994,1105,1918,1418,4422,3466,2410,3393,25159
78,0,1,0,1,0,4,0,0,0,0,45,0,0,0,0,0,0,2,0,3,7,25,1,6,1,0,0,2,100,11570,237,457,3230,11283,12927,10474,3712,15044,1578,560,9060,964,2189,322,2698,1033,1080,1863,1395,3655,2702,2715,2596,18948
