,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
10,60,35,32,43,6,127,13,14,8,14,21,70,1347,57,34,46,3,15,35,24,41,8,30,1,5,1,15,62,4,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,43,12,24,0,5,84,11,9,6,8,15,71,1921,74,34,47,6,4,0,23,8,9,24,0,8,3,2,62,4,0,2,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,68,23,38,15,11,79,16,8,7,9,23,73,2103,58,35,58,8,6,27,21,16,10,23,0,9,3,12,63,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,72,21,37,20,4,114,12,10,9,13,37,109,2345,72,37,85,11,4,0,24,15,8,28,0,6,5,12,105,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,50,16,29,15,2,73,11,8,10,9,35,89,3156,68,33,72,12,7,14,28,25,7,19,1,7,3,5,66,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,25,10,11,0,25,0,0,10,0,0,0,0,0,0,0,0,7,23,9,10,0,0,0,2,0,2,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,135,44,35,19,10,123,22,13,16,36,87,150,5434,111,67,113,11,6,19,72,34,15,43,5,12,7,11,111,5,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,68,18,15,15,4,57,11,12,9,24,18,67,2841,31,31,37,4,5,11,28,9,8,19,1,7,3,3,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,46,11,20,11,8,45,12,7,4,11,12,52,2147,35,29,42,9,6,13,28,7,11,23,0,2,3,2,27,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,51,11,22,11,4,31,15,13,8,12,24,40,2531,41,24,31,2,2,5,24,6,4,19,1,4,4,1,17,2,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,30,5,18,6,3,26,5,9,6,21,29,32,2097,33,23,33,1,1,6,27,4,3,12,0,8,6,8,25,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,29,10,19,5,0,42,7,13,9,12,18,30,1638,34,28,40,2,8,6,11,3,2,19,0,5,4,5,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,21,14,13,7,1,22,0,4,6,14,17,34,14840,22,27,28,1,0,4,9,7,2,15,0,6,4,1,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,24,6,11,2,4,20,4,5,1,18,23,15,3780,20,23,28,2,1,1,13,5,0,12,0,7,2,7,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,16,3,8,4,-1,33,9,3,4,8,7,28,2420,13,11,13,2,2,2,11,8,1,7,0,1,5,6,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,12,5,7,2,0,22,2,1,0,9,20,19,1843,3,13,12,1,1,4,7,2,1,11,0,1,1,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
