Shanghai,24240000,,,Zhejiang,57370000,,,Jiangsu,80400000,,,Shaanxi,37430000,,,Shandong,100470000,,,Anhui,62000000,,,Beijing,21540000,,,Chongqing,30750000,,,Fujian,38570000,,,Gansu,25640000,,,Guangdong,113460000,,,Guangxi,48380000,,,Guizhou,34690000,,,Hainan,9260000,,,Hebei,74700000,,,Heilongjiang,38340000,,,Henan,95590000,,
Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med
5.49E-06,1.38E-05,3813,0.811228513,9.78E-06,2.05E-05,560,0.313519608,3.67E-06,7.85E-06,780,0.312251462,3.37E-06,6.55E-06,186.5,0.174421206,2.87E-06,5.43E-06,650.59,0.513979194,8.18E-06,1.59E-05,447,0.175311382,1.10E-05,1.83E-05,1292,0.593809524,8.52E-06,1.84E-05,373,0.239149453,4.30E-06,7.60E-06,322,0.224377576,7.02E-07,2.77E-06,57,0.063519701,6.04E-06,1.17E-05,620,0.277077778,3.16E-06,5.06E-06,206,0.144101695,2.08E-06,4.21E-06,203,0.159284091,8.42E-06,1.81E-05,272,0.152352941,1.78E-06,4.11E-06,400,0.431070858,1.16E-05,1.68E-05,83,0.044676211,6.37E-06,1.32E-05,572,0.425682635
4.99E-06,1.38E-05,3813,0.811228513,9.55E-06,2.10E-05,560,0.313519608,3.28E-06,7.85E-06,780,0.312251462,2.94E-06,6.55E-06,186.5,0.174421206,4.62E-06,7.45E-06,650.59,0.513979194,7.15E-06,1.59E-05,447,0.175311382,1.04E-05,1.84E-05,1292,0.593809524,8.13E-06,1.86E-05,373,0.239149453,3.71E-06,7.60E-06,322,0.224377576,5.07E-07,2.96E-06,57,0.063519701,5.62E-06,1.17E-05,620,0.277077778,3.04E-06,5.08E-06,206,0.144101695,1.93E-06,4.21E-06,203,0.159284091,7.45E-06,1.81E-05,272,0.152352941,1.59E-06,4.12E-06,400,0.431070858,1.03E-05,1.69E-05,83,0.044676211,5.36E-06,1.33E-05,572,0.425682635
4.33E-06,1.38E-05,3813,0.811228513,8.47E-06,2.10E-05,560,0.313519608,2.86E-06,7.85E-06,780,0.312251462,2.54E-06,6.55E-06,186.5,0.174421206,4.42E-06,7.46E-06,650.59,0.513979194,6.23E-06,1.60E-05,447,0.175311382,1.01E-05,1.85E-05,1292,0.593809524,7.77E-06,1.86E-05,373,0.239149453,3.37E-06,7.60E-06,322,0.224377576,5.07E-07,2.96E-06,57,0.063519701,5.34E-06,1.18E-05,620,0.277077778,2.96E-06,5.15E-06,206,0.144101695,1.56E-06,4.21E-06,203,0.159284091,6.48E-06,1.81E-05,272,0.152352941,1.34E-06,4.14E-06,400,0.431070858,9.28E-06,1.69E-05,83,0.044676211,4.40E-06,1.33E-05,572,0.425682635
3.42E-06,1.38E-05,3813,0.811228513,8.00E-06,2.10E-05,560,0.313519608,2.72E-06,7.85E-06,780,0.312251462,2.16E-06,6.55E-06,186.5,0.174421206,4.27E-06,7.50E-06,650.59,0.513979194,5.58E-06,1.60E-05,447,0.175311382,9.56E-06,1.85E-05,1292,0.593809524,7.61E-06,1.87E-05,373,0.239149453,3.16E-06,7.60E-06,322,0.224377576,4.29E-07,3.04E-06,57,0.063519701,5.12E-06,1.18E-05,620,0.277077778,2.91E-06,5.15E-06,206,0.144101695,1.21E-06,4.21E-06,203,0.159284091,6.16E-06,1.81E-05,272,0.152352941,1.15E-06,4.16E-06,400,0.431070858,8.68E-06,1.69E-05,83,0.044676211,4.02E-06,1.33E-05,572,0.425682635
2.93E-06,1.38E-05,3813,0.811228513,7.34E-06,2.10E-05,560,0.313519608,2.15E-06,7.85E-06,780,0.312251462,1.90E-06,6.55E-06,186.5,0.174421206,4.05E-06,7.51E-06,650.59,0.513979194,5.16E-06,1.60E-05,447,0.175311382,9.15E-06,1.85E-05,1292,0.593809524,7.19E-06,1.87E-05,373,0.239149453,2.83E-06,7.60E-06,322,0.224377576,3.51E-07,3.12E-06,57,0.063519701,4.87E-06,1.19E-05,620,0.277077778,2.83E-06,5.19E-06,206,0.144101695,1.21E-06,4.21E-06,203,0.159284091,5.08E-06,1.81E-05,272,0.152352941,9.50E-07,4.16E-06,400,0.431070858,8.50E-06,1.69E-05,83,0.044676211,3.23E-06,1.33E-05,572,0.425682635
2.68E-06,1.39E-05,3813,0.811228513,7.15E-06,2.10E-05,560,0.313519608,2.15E-06,7.85E-06,780,0.312251462,1.55E-06,6.55E-06,186.5,0.174421206,3.93E-06,7.52E-06,650.59,0.513979194,4.37E-06,1.60E-05,447,0.175311382,8.40E-06,1.86E-05,1292,0.593809524,6.44E-06,1.87E-05,373,0.239149453,2.44E-06,7.62E-06,322,0.224377576,3.51E-07,3.12E-06,57,0.063519701,4.57E-06,1.19E-05,620,0.277077778,2.40E-06,5.21E-06,206,0.144101695,1.15E-06,4.21E-06,203,0.159284091,4.21E-06,1.81E-05,272,0.152352941,7.63E-07,4.16E-06,400,0.431070858,7.94E-06,1.69E-05,83,0.044676211,2.62E-06,1.33E-05,572,0.425682635
2.52E-06,1.39E-05,3813,0.811228513,5.91E-06,2.10E-05,560,0.313519608,1.88E-06,7.85E-06,780,0.312251462,1.39E-06,6.55E-06,186.5,0.174421206,3.71E-06,7.52E-06,650.59,0.513979194,3.85E-06,1.60E-05,447,0.175311382,7.47E-06,1.86E-05,1292,0.593809524,6.05E-06,1.87E-05,373,0.239149453,1.94E-06,7.62E-06,322,0.224377576,3.12E-07,3.16E-06,57,0.063519701,4.31E-06,1.19E-05,620,0.277077778,2.13E-06,5.21E-06,206,0.144101695,1.15E-06,4.21E-06,203,0.159284091,3.67E-06,1.81E-05,272,0.152352941,6.02E-07,4.18E-06,400,0.431070858,7.73E-06,1.69E-05,83,0.044676211,2.29E-06,1.33E-05,572,0.425682635
2.39E-06,1.39E-05,3813,0.811228513,5.49E-06,2.10E-05,560,0.313519608,1.70E-06,7.85E-06,780,0.312251462,1.31E-06,6.55E-06,186.5,0.174421206,3.61E-06,7.52E-06,650.59,0.513979194,3.08E-06,1.60E-05,447,0.175311382,7.29E-06,1.90E-05,1292,0.593809524,5.50E-06,1.87E-05,373,0.239149453,1.74E-06,7.67E-06,322,0.224377576,3.12E-07,3.16E-06,57,0.063519701,3.97E-06,1.19E-05,620,0.277077778,1.84E-06,5.21E-06,206,0.144101695,9.22E-07,4.21E-06,203,0.159284091,3.46E-06,1.81E-05,272,0.152352941,4.95E-07,4.24E-06,400,0.431070858,6.95E-06,1.69E-05,83,0.044676211,1.92E-06,1.33E-05,572,0.425682635
2.27E-06,1.39E-05,3813,0.811228513,4.39E-06,2.10E-05,560,0.313519608,1.44E-06,7.85E-06,780,0.312251462,1.20E-06,6.55E-06,186.5,0.174421206,3.43E-06,7.52E-06,650.59,0.513979194,2.63E-06,1.60E-05,447,0.175311382,6.78E-06,1.90E-05,1292,0.593809524,4.81E-06,1.87E-05,373,0.239149453,1.56E-06,7.67E-06,322,0.224377576,2.73E-07,3.20E-06,57,0.063519701,3.58E-06,1.19E-05,620,0.277077778,1.69E-06,5.21E-06,206,0.144101695,9.22E-07,4.21E-06,203,0.159284091,3.24E-06,1.81E-05,272,0.152352941,4.69E-07,4.26E-06,400,0.431070858,6.49E-06,1.69E-05,83,0.044676211,1.46E-06,1.33E-05,572,0.425682635
1.94E-06,1.39E-05,3813,0.811228513,3.28E-06,2.10E-05,560,0.313519608,1.34E-06,7.85E-06,780,0.312251462,9.89E-07,6.55E-06,186.5,0.174421206,3.27E-06,7.52E-06,650.59,0.513979194,1.87E-06,1.60E-05,447,0.175311382,6.13E-06,1.91E-05,1292,0.593809524,4.29E-06,1.87E-05,373,0.239149453,1.35E-06,7.67E-06,322,0.224377576,2.73E-07,3.20E-06,57,0.063519701,3.16E-06,1.19E-05,620,0.277077778,1.53E-06,5.21E-06,206,0.144101695,9.22E-07,4.21E-06,203,0.159284091,1.62E-06,1.81E-05,272,0.152352941,4.02E-07,4.26E-06,400,0.431070858,5.86E-06,1.69E-05,83,0.044676211,8.47E-07,1.33E-05,572,0.425682635
1.82E-06,1.39E-05,3813,0.811228513,2.75E-06,2.10E-05,560,0.313519608,1.18E-06,7.85E-06,780,0.312251462,9.62E-07,6.55E-06,186.5,0.174421206,3.08E-06,7.54E-06,650.59,0.513979194,1.79E-06,1.60E-05,447,0.175311382,5.99E-06,1.92E-05,1292,0.593809524,3.90E-06,1.87E-05,373,0.239149453,1.24E-06,7.67E-06,322,0.224377576,1.95E-07,3.28E-06,57,0.063519701,2.87E-06,1.19E-05,620,0.277077778,1.43E-06,5.21E-06,206,0.144101695,9.22E-07,4.21E-06,203,0.159284091,1.51E-06,1.81E-05,272,0.152352941,2.41E-07,4.26E-06,400,0.431070858,4.41E-06,1.69E-05,83,0.044676211,5.44E-07,1.33E-05,572,0.425682635
1.73E-06,1.39E-05,3813,0.811228513,2.56E-06,2.10E-05,560,0.313519608,1.16E-06,7.85E-06,780,0.312251462,7.48E-07,6.55E-06,186.5,0.174421206,2.91E-06,7.54E-06,650.59,0.513979194,1.08E-06,1.60E-05,447,0.175311382,5.76E-06,1.92E-05,1292,0.593809524,3.28E-06,1.87E-05,373,0.239149453,1.04E-06,7.67E-06,322,0.224377576,1.56E-07,3.32E-06,57,0.063519701,2.50E-06,1.19E-05,620,0.277077778,1.20E-06,5.21E-06,206,0.144101695,8.65E-07,4.21E-06,203,0.159284091,1.30E-06,1.81E-05,272,0.152352941,2.14E-07,4.26E-06,400,0.431070858,3.92E-06,1.69E-05,83,0.044676211,4.71E-07,1.33E-05,572,0.425682635
1.69E-06,1.39E-05,3813,0.811228513,2.04E-06,2.11E-05,560,0.313519608,9.33E-07,7.85E-06,780,0.312251462,7.48E-07,6.55E-06,186.5,0.174421206,2.40E-06,7.54E-06,650.59,0.513979194,7.74E-07,1.60E-05,447,0.175311382,5.48E-06,1.92E-05,1292,0.593809524,2.60E-06,1.87E-05,373,0.239149453,9.07E-07,7.67E-06,322,0.224377576,1.17E-07,3.35E-06,57,0.063519701,2.13E-06,1.19E-05,620,0.277077778,9.92E-07,5.21E-06,206,0.144101695,8.65E-07,4.21E-06,203,0.159284091,8.64E-07,1.81E-05,272,0.152352941,1.61E-07,4.26E-06,400,0.431070858,3.56E-06,1.69E-05,83,0.044676211,1.99E-07,1.33E-05,572,0.425682635
1.53E-06,1.39E-05,3813,0.811228513,1.50E-06,2.11E-05,560,0.313519608,7.71E-07,7.85E-06,780,0.312251462,5.61E-07,6.55E-06,186.5,0.174421206,2.35E-06,7.54E-06,650.59,0.513979194,4.52E-07,1.60E-05,447,0.175311382,5.25E-06,1.94E-05,1292,0.593809524,2.21E-06,1.87E-05,373,0.239149453,6.48E-07,7.67E-06,322,0.224377576,7.80E-08,3.39E-06,57,0.063519701,1.85E-06,1.19E-05,620,0.277077778,8.27E-07,5.21E-06,206,0.144101695,8.65E-07,4.21E-06,203,0.159284091,5.40E-07,1.81E-05,272,0.152352941,1.47E-07,4.26E-06,400,0.431070858,3.32E-06,1.69E-05,83,0.044676211,1.67E-07,1.33E-05,572,0.425682635
1.36E-06,1.40E-05,3813,0.811228513,1.39E-06,2.12E-05,560,0.313519608,6.34E-07,7.85E-06,780,0.312251462,5.34E-07,6.55E-06,186.5,0.174421206,1.73E-06,7.54E-06,650.59,0.513979194,2.26E-07,1.60E-05,447,0.175311382,5.25E-06,1.94E-05,1292,0.593809524,1.89E-06,1.87E-05,373,0.239149453,4.67E-07,7.67E-06,322,0.224377576,5.07E-07,3.39E-06,57,0.063519701,1.44E-06,1.19E-05,620,0.277077778,7.44E-07,5.21E-06,206,0.144101695,8.65E-07,4.21E-06,203,0.159284091,4.32E-07,1.81E-05,272,0.152352941,1.07E-07,4.26E-06,400,0.431070858,3.14E-06,1.70E-05,83,0.044676211,1.15E-07,1.33E-05,572,0.425682635
1.36E-06,1.41E-05,3813,0.811228513,1.05E-06,2.12E-05,560,0.313519608,5.35E-07,7.85E-06,780,0.312251462,4.81E-07,6.55E-06,186.5,0.174421206,1.33E-06,7.54E-06,650.59,0.513979194,8.06E-08,1.60E-05,447,0.175311382,5.34E-06,1.96E-05,1292,0.593809524,1.85E-06,1.87E-05,373,0.239149453,2.85E-07,7.67E-06,322,0.224377576,1.17E-06,3.39E-06,57,0.063519701,1.14E-06,1.19E-05,620,0.277077778,6.82E-07,5.21E-06,206,0.144101695,8.65E-07,4.21E-06,203,0.159284091,4.32E-07,1.81E-05,272,0.152352941,9.37E-08,4.26E-06,400,0.431070858,2.54E-06,1.70E-05,83,0.044676211,6.28E-08,1.33E-05,572,0.425682635
1.07E-06,1.41E-05,3813,0.811228513,8.54E-07,2.12E-05,560,0.313519608,3.61E-07,7.85E-06,780,0.312251462,4.81E-07,6.55E-06,186.5,0.174421206,1.24E-06,7.54E-06,650.59,0.513979194,8.06E-08,1.60E-05,447,0.175311382,5.34E-06,1.98E-05,1292,0.593809524,1.43E-06,1.87E-05,373,0.239149453,0,7.67E-06,322,0.224377576,1.21E-06,3.39E-06,57,0.063519701,9.52E-07,1.19E-05,620,0.277077778,6.61E-07,5.21E-06,206,0.144101695,8.36E-07,4.21E-06,203,0.159284091,4.32E-07,1.81E-05,272,0.152352941,6.69E-08,4.26E-06,400,0.431070858,2.29E-06,1.70E-05,83,0.044676211,6.28E-08,1.33E-05,572,0.425682635
1.03E-06,1.41E-05,3813,0.811228513,7.15E-07,2.12E-05,560,0.313519608,2.49E-07,7.85E-06,780,0.312251462,4.54E-07,6.55E-06,186.5,0.174421206,1.09E-06,7.54E-06,650.59,0.513979194,0,1.60E-05,447,0.175311382,5.20E-06,1.99E-05,1292,0.593809524,1.40E-06,1.87E-05,373,0.239149453,0,7.67E-06,322,0.224377576,1.37E-06,3.39E-06,57,0.063519701,7.84E-07,1.19E-05,620,0.277077778,5.58E-07,5.21E-06,206,0.144101695,7.78E-07,4.21E-06,203,0.159284091,3.24E-07,1.81E-05,272,0.152352941,6.69E-08,4.26E-06,400,0.431070858,1.98E-06,1.70E-05,83,0.044676211,3.14E-08,1.33E-05,572,0.425682635
9.90E-07,1.41E-05,3813,0.811228513,4.53E-07,2.12E-05,560,0.313519608,1.24E-07,7.85E-06,780,0.312251462,4.54E-07,6.55E-06,186.5,0.174421206,5.18E-07,7.54E-06,650.59,0.513979194,0,1.60E-05,447,0.175311382,4.87E-06,1.99E-05,1292,0.593809524,9.11E-07,1.87E-05,373,0.239149453,0,7.67E-06,322,0.224377576,1.33E-06,3.43E-06,57,0.063519701,7.40E-07,1.19E-05,620,0.277077778,4.13E-07,5.21E-06,206,0.144101695,6.05E-07,4.21E-06,203,0.159284091,3.24E-07,1.81E-05,272,0.152352941,6.69E-08,4.26E-06,400,0.431070858,1.34E-06,1.70E-05,83,0.044676211,3.14E-08,1.33E-05,572,0.425682635
22,344,3813,0.811228513,15,1215,,,4,631,,,17,245,,,33,758,,,0,990,,,100,429,,,28,576,,,0,296,,,34,124,,,72,1353,,,16,252,,,15,146,,,2,168,,,5,318,,,34,481,,,3,1272,572,0.425682635
21,344,3813,0.811228513,7,1215,,,4,631,,,12,245,,,28,759,,,0,990,,,101,435,,,21,576,,,0,296,,,35,125,,,63,1353,,,13,252,,,11,146,,,3,168,,,5,318,,,34,482,,,2,1273,572,0.425682635
20,344,3813,0.811228513,6,1216,,,2,631,,,11,245,,,20,760,,,0,990,,,93,435,,,16,576,,,0,296,,,37,127,,,59,1356,,,6,252,,,7,146,,,2,168,,,2,318,,,28,482,,,2,1273,572,0.425682635
19,346,3813,0.811228513,5,1215,,,0,631,,,11,245,,,14,760,,,0,990,,,86,436,,,6,576,,,0,296,,,37,127,,,52,1356,,,7,252,,,4,146,,,2,168,,,2,318,,,23,482,,,2,1273,572,0.425682635
25,352,3813,0.811228513,15,1227,,,1,631,,,11,245,,,12,760,,,0,990,,,80,437,,,4,576,,,0,296,,,38,129,,,49,1356,,,7,252,,,1,146,,,2,168,,,2,318,,,22,482,,,1,1273,572,0.425682635
26,353,3813,0.811228513,19,1231,,,0,631,,,11,245,,,12,760,,,0,990,,,81,442,,,0,576,,,0,296,,,39,132,,,46,1357,,,7,252,,,1,146,,,2,168,,,2,318,,,16,482,,,1,1273,572,0.425682635
30,358,3813,0.811228513,15,1232,,,0,631,,,7,246,,,8,761,,,0,990,,,79,456,,,0,576,,,0,296,,,40,133,,,49,1364,,,1,253,,,0,146,,,1,168,,,2,318,,,13,482,,,1,1273,572,0.425682635
32,361,3813,0.811228513,14,1232,,,0,631,,,6,246,,,8,761,,,0,990,,,83,469,,,0,576,,,0,296,,,40,133,,,48,1370,,,0,253,,,0,146,,,1,168,,,2,318,,,6,482,,,1,1273,572,0.425682635
42,371,3813,0.811228513,15,1233,,,0,631,,,7,247,,,7,762,,,0,990,,,92,480,,,0,576,,,0,296,,,34,134,,,52,1378,,,2,254,,,0,146,,,1,168,,,2,318,,,8,484,,,1,1273,572,0.425682635
