Shanghai,24240000,,,Zhejiang,57370000,,,Jiangsu,80400000,,,Shaanxi,37430000,,,Shandong,100470000,,,Anhui,62000000,,,Beijing,21540000,,,Chongqing,30750000,,,Fujian,38570000,,,Gansu,25640000,,,Guangdong,113460000,,,Guangxi,48380000,,,Guizhou,34690000,,,Hainan,9260000,,,Hebei,74700000,,,Heilongjiang,38340000,,,Henan,95590000,,
Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med
5.86E-06,6.31E-06,3813,0.811228513,1.01E-05,1.04E-05,560,0.313519608,2.45E-06,2.51E-06,780,0.312251462,2.32E-06,2.32E-06,186.5,0.174421206,1.81E-06,1.83E-06,650.59,0.513979194,3.77E-06,3.82E-06,447,0.175311382,6.17E-06,6.45E-06,1292,0.593809524,6.83E-06,6.86E-06,373,0.239149453,3.11E-06,3.11E-06,322,0.224377576,1.13E-06,0,57,0.063519701,3.75E-06,3.84E-06,620,0.277077778,1.76E-06,1.80E-06,206,0.144101695,7.78E-07,8.36E-07,203,0.159284091,5.40E-06,5.62E-06,272,0.152352941,1.08E-06,1.10E-06,400,0.431070858,2.01E-06,2.08E-06,83,0.044676211,3.63E-06,3.68E-06,572,0.425682635
6.52E-06,6.97E-06,3813,0.811228513,1.01E-05,1.04E-05,560,0.313519608,2.44E-06,2.51E-06,780,0.312251462,2.70E-06,2.70E-06,186.5,0.174421206,2.02E-06,2.05E-06,650.59,0.513979194,4.71E-06,4.79E-06,447,0.175311382,7.34E-06,7.80E-06,1292,0.593809524,7.90E-06,8.03E-06,373,0.239149453,3.73E-06,3.73E-06,322,0.224377576,1.56E-06,0,57,0.063519701,4.59E-06,4.72E-06,620,0.277077778,2.03E-06,2.07E-06,206,0.144101695,7.78E-07,8.36E-07,203,0.159284091,6.48E-06,6.70E-06,272,0.152352941,1.27E-06,1.29E-06,400,0.431070858,2.68E-06,2.82E-06,83,0.044676211,4.36E-06,4.41E-06,572,0.425682635
7.05E-06,7.51E-06,3813,0.811228513,1.11E-05,1.15E-05,560,0.313519608,2.85E-06,2.94E-06,780,0.312251462,3.10E-06,3.10E-06,186.5,0.174421206,2.23E-06,2.29E-06,650.59,0.513979194,5.37E-06,5.48E-06,447,0.175311382,8.40E-06,8.87E-06,1292,0.593809524,9.46E-06,9.76E-06,373,0.239149453,4.12E-06,4.12E-06,322,0.224377576,1.87E-06,1.17E-07,57,0.063519701,5.44E-06,5.57E-06,620,0.277077778,2.25E-06,2.29E-06,206,0.144101695,1.04E-06,1.10E-06,203,0.159284091,6.37E-06,6.91E-06,272,0.152352941,1.34E-06,1.39E-06,400,0.431070858,3.21E-06,3.35E-06,83,0.044676211,5.03E-06,5.16E-06,572,0.425682635
7.92E-06,8.37E-06,3813,0.811228513,1.20E-05,1.26E-05,560,0.313519608,3.27E-06,3.37E-06,780,0.312251462,3.42E-06,3.42E-06,186.5,0.174421206,2.51E-06,2.58E-06,650.59,0.513979194,6.35E-06,6.58E-06,447,0.175311382,9.24E-06,9.84E-06,1292,0.593809524,1.06E-05,1.10E-05,373,0.239149453,4.61E-06,4.64E-06,322,0.224377576,2.03E-06,1.17E-07,57,0.063519701,6.20E-06,6.39E-06,620,0.277077778,2.48E-06,2.63E-06,206,0.144101695,1.27E-06,1.33E-06,203,0.159284091,7.24E-06,7.78E-06,272,0.152352941,1.46E-06,1.51E-06,400,0.431070858,4.13E-06,4.27E-06,83,0.044676211,5.73E-06,5.92E-06,572,0.425682635
8.50E-06,9.03E-06,3813,0.811228513,1.34E-05,1.45E-05,560,0.313519608,3.68E-06,3.83E-06,780,0.312251462,3.74E-06,3.79E-06,186.5,0.174421206,2.63E-06,2.74E-06,650.59,0.513979194,7.42E-06,7.74E-06,447,0.175311382,9.47E-06,1.06E-05,1292,0.593809524,1.15E-05,1.19E-05,373,0.239149453,4.95E-06,5.03E-06,322,0.224377576,2.07E-06,1.56E-07,57,0.063519701,6.90E-06,7.17E-06,620,0.277077778,2.67E-06,2.87E-06,206,0.144101695,1.61E-06,1.67E-06,203,0.159284091,7.99E-06,8.64E-06,272,0.152352941,1.62E-06,1.69E-06,400,0.431070858,5.26E-06,5.47E-06,83,0.044676211,6.76E-06,7.06E-06,572,0.425682635
9.36E-06,1.00E-05,3813,0.811228513,1.43E-05,1.56E-05,560,0.313519608,3.97E-06,4.24E-06,780,0.312251462,4.25E-06,4.41E-06,186.5,0.174421206,2.91E-06,3.06E-06,650.59,0.513979194,8.18E-06,8.55E-06,447,0.175311382,1.06E-05,1.17E-05,1292,0.593809524,1.21E-05,1.27E-05,373,0.239149453,5.03E-06,5.32E-06,322,0.224377576,2.18E-06,2.34E-07,57,0.063519701,7.46E-06,7.89E-06,620,0.277077778,2.83E-06,3.10E-06,206,0.144101695,1.56E-06,1.84E-06,203,0.159284091,1.00E-05,1.07E-05,272,0.152352941,1.71E-06,1.81E-06,400,0.431070858,6.39E-06,6.70E-06,83,0.044676211,7.48E-06,7.99E-06,572,0.425682635
9.53E-06,1.06E-05,3813,0.811228513,1.52E-05,1.66E-05,560,0.313519608,4.29E-06,4.64E-06,780,0.312251462,4.38E-06,4.62E-06,186.5,0.174421206,3.19E-06,3.45E-06,650.59,0.513979194,8.98E-06,9.53E-06,447,0.175311382,1.12E-05,1.27E-05,1292,0.593809524,1.25E-05,1.34E-05,373,0.239149453,5.21E-06,5.57E-06,322,0.224377576,2.18E-06,2.34E-07,57,0.063519701,7.94E-06,8.55E-06,620,0.277077778,3.18E-06,3.47E-06,206,0.144101695,1.84E-06,2.05E-06,203,0.159284091,1.05E-05,1.14E-05,272,0.152352941,1.91E-06,2.10E-06,400,0.431070858,7.62E-06,8.01E-06,83,0.044676211,8.30E-06,8.90E-06,572,0.425682635
1.01E-05,1.14E-05,3813,0.811228513,1.58E-05,1.75E-05,560,0.313519608,4.60E-06,5.07E-06,780,0.312251462,4.46E-06,4.92E-06,186.5,0.174421206,3.47E-06,3.84E-06,650.59,0.513979194,9.97E-06,1.07E-05,447,0.175311382,1.22E-05,1.38E-05,1292,0.593809524,1.28E-05,1.39E-05,373,0.239149453,5.29E-06,5.81E-06,322,0.224377576,2.26E-06,3.51E-07,57,0.063519701,8.33E-06,9.11E-06,620,0.277077778,3.20E-06,3.56E-06,206,0.144101695,2.13E-06,2.33E-06,203,0.159284091,1.13E-05,1.26E-05,272,0.152352941,1.99E-06,2.30E-06,400,0.431070858,9.24E-06,9.77E-06,83,0.044676211,8.63E-06,9.56E-06,572,0.425682635
1.01E-05,1.18E-05,3813,0.811228513,1.53E-05,1.83E-05,560,0.313519608,4.93E-06,5.46E-06,780,0.312251462,4.68E-06,5.21E-06,186.5,0.174421206,3.70E-06,4.14E-06,650.59,0.513979194,1.09E-05,1.18E-05,447,0.175311382,1.30E-05,1.46E-05,1292,0.593809524,1.26E-05,1.39E-05,373,0.239149453,5.57E-06,6.20E-06,322,0.224377576,2.57E-06,4.68E-07,57,0.063519701,8.66E-06,9.65E-06,620,0.277077778,3.43E-06,3.78E-06,206,0.144101695,2.33E-06,2.57E-06,203,0.159284091,1.17E-05,1.34E-05,272,0.152352941,2.20E-06,2.61E-06,400,0.431070858,9.77E-06,1.04E-05,83,0.044676211,9.01E-06,1.03E-05,572,0.425682635
1.02E-05,1.21E-05,3813,0.811228513,1.54E-05,1.87E-05,560,0.313519608,4.93E-06,5.82E-06,780,0.312251462,4.89E-06,5.56E-06,186.5,0.174421206,3.78E-06,4.42E-06,650.59,0.513979194,1.14E-05,1.26E-05,447,0.175311382,1.33E-05,1.51E-05,1292,0.593809524,1.35E-05,1.52E-05,373,0.239149453,5.57E-06,6.48E-06,322,0.224377576,2.54E-06,6.24E-07,57,0.063519701,8.72E-06,9.97E-06,620,0.277077778,3.64E-06,4.03E-06,206,0.144101695,2.62E-06,2.85E-06,203,0.159284091,1.18E-05,1.41E-05,272,0.152352941,2.28E-06,2.76E-06,400,0.431070858,1.01E-05,1.08E-05,83,0.044676211,9.14E-06,1.08E-05,572,0.425682635
